plan_id,production_date,line_id,model_id,shift,planned_quantity
P000620,2026-02-08,L006,M005,夜班,35
P000621,2026-02-08,L007,M008,白班,31
P000622,2026-02-08,L007,M008,夜班,32
P000623,2026-02-08,L008,M004,白班,52
P000624,2026-02-08,L008,M006,夜班,53
P000625,2026-02-09,L001,M001,白班,78
P000626,2026-02-09,L001,M002,夜班,91
P000627,2026-02-09,L002,M004,白班,71
P000628,2026-02-09,L002,M003,夜班,69
P000629,2026-02-09,L003,M003,白班,72
P000630,2026-02-09,L003,M004,夜班,70
P000631,2026-02-09,L004,M001,白班,57
P000632,2026-02-09,L004,M001,夜班,66
P000633,2026-02-09,L005,M006,白班,55
P000634,2026-02-09,L005,M005,夜班,48
P000635,2026-02-09,L006,M006,白班,52
P000636,2026-02-09,L006,M005,夜班,46
P000637,2026-02-09,L007,M008,白班,52
P000638,2026-02-09,L007,M007,夜班,51
P000639,2026-02-09,L008,M008,白班,68
P000640,2026-02-09,L008,M006,夜班,74
P000641,2026-02-10,L001,M001,白班,87
P000642,2026-02-10,L001,M001,夜班,79
P000643,2026-02-10,L002,M003,白班,71
P000644,2026-02-10,L002,M004,夜班,65
P000645,2026-02-10,L003,M003,白班,65
P000646,2026-02-10,L003,M004,夜班,64
P000647,2026-02-10,L004,M002,白班,60
P000648,2026-02-10,L004,M001,夜班,58
P000649,2026-02-10,L005,M005,白班,49
P000650,2026-02-10,L005,M006,夜班,53
P000651,2026-02-10,L006,M005,白班,55
P000652,2026-02-10,L006,M006,夜班,51
P000653,2026-02-10,L007,M007,白班,44
P000654,2026-02-10,L007,M007,夜班,47
P000655,2026-02-10,L008,M003,白班,74
P000656,2026-02-10,L008,M006,夜班,70
P000657,2026-02-11,L001,M002,白班,74
P000658,2026-02-11,L001,M001,夜班,83
P000659,2026-02-11,L002,M003,白班,70
P000660,2026-02-11,L002,M003,夜班,68
P000661,2026-02-11,L003,M003,白班,75
P000662,2026-02-11,L003,M003,夜班,68
P000663,2026-02-11,L004,M002,白班,68
P000664,2026-02-11,L004,M002,夜班,67
P000665,2026-02-11,L005,M006,白班,56
P000666,2026-02-11,L005,M006,夜班,50
P000667,2026-02-11,L006,M006,白班,52
P000668,2026-02-11,L006,M005,夜班,47
P000669,2026-02-11,L007,M008,白班,42
P000670,2026-02-11,L007,M008,夜班,47
P000671,2026-02-11,L008,M004,白班,75
P000672,2026-02-11,L008,M004,夜班,80
P000673,2026-02-12,L001,M002,白班,86
P000674,2026-02-12,L001,M002,夜班,82
P000675,2026-02-12,L002,M004,白班,80
P000676,2026-02-12,L002,M004,夜班,76
P000677,2026-02-12,L003,M003,白班,64
P000678,2026-02-12,L003,M004,夜班,70
P000679,2026-02-12,L004,M001,白班,65
P000680,2026-02-12,L004,M001,夜班,57
P000681,2026-02-12,L005,M006,白班,52
P000682,2026-02-12,L005,M005,夜班,57
P000683,2026-02-12,L006,M005,白班,56
P000684,2026-02-12,L006,M005,夜班,52
P000685,2026-02-12,L007,M007,白班,50
P000686,2026-02-12,L007,M008,夜班,52
P000687,2026-02-12,L008,M002,白班,71
P000688,2026-02-12,L008,M008,夜班,78
P000689,2026-02-13,L001,M001,白班,77
P000690,2026-02-13,L001,M002,夜班,80
P000691,2026-02-13,L002,M004,白班,72
P000692,2026-02-13,L002,M003,夜班,71
P000693,2026-02-13,L003,M003,白班,72
P000694,2026-02-13,L003,M004,夜班,75
P000695,2026-02-13,L004,M002,白班,70
P000696,2026-02-13,L004,M002,夜班,63
P000697,2026-02-13,L005,M006,白班,60
P000698,2026-02-13,L005,M005,夜班,48
P000699,2026-02-13,L006,M005,白班,52
P000700,2026-02-13,L006,M005,夜班,48
P000701,2026-02-13,L007,M008,白班,46
P000702,2026-02-13,L007,M007,夜班,46
P000703,2026-02-13,L008,M005,白班,66
P000704,2026-02-13,L008,M002,夜班,82
P000705,2026-02-14,L001,M001,白班,81
P000706,2026-02-14,L001,M001,夜班,78
P000707,2026-02-14,L002,M004,白班,59
P000708,2026-02-14,L002,M004,夜班,63
P000709,2026-02-14,L003,M004,白班,62
P000710,2026-02-14,L003,M003,夜班,55
P000711,2026-02-14,L004,M001,白班,51
P000712,2026-02-14,L004,M002,夜班,53
P000713,2026-02-14,L005,M006,白班,45
P000714,2026-02-14,L005,M005,夜班,48
P000715,2026-02-14,L006,M005,白班,41
P000716,2026-02-14,L006,M006,夜班,49
P000717,2026-02-14,L007,M008,白班,44
P000718,2026-02-14,L007,M007,夜班,43
P000719,2026-02-14,L008,M007,白班,62
P000720,2026-02-14,L008,M008,夜班,69
P000721,2026-02-15,L001,M001,白班,65
P000722,2026-02-15,L001,M001,夜班,59
P000723,2026-02-15,L002,M003,白班,47
P000724,2026-02-15,L002,M003,夜班,56
P000725,2026-02-15,L003,M003,白班,48
P000726,2026-02-15,L003,M003,夜班,54
P000727,2026-02-15,L004,M002,白班,50
P000728,2026-02-15,L004,M002,夜班,45
P000729,2026-02-15,L005,M006,白班,34
P000730,2026-02-15,L005,M006,夜班,36
P000731,2026-02-15,L006,M006,白班,37
P000732,2026-02-15,L006,M006,夜班,34
P000733,2026-02-15,L007,M008,白班,33
P000734,2026-02-15,L007,M007,夜班,36
P000735,2026-02-15,L008,M001,白班,52
P000736,2026-02-15,L008,M008,夜班,49
P000737,2026-02-16,L001,M001,白班,74
P000738,2026-02-16,L001,M002,夜班,91
P000739,2026-02-16,L002,M003,白班,68
P000740,2026-02-16,L002,M004,夜班,75
P000741,2026-02-16,L003,M004,白班,76
P000742,2026-02-16,L003,M004,夜班,74
P000743,2026-02-16,L004,M002,白班,69
P000744,2026-02-16,L004,M001,夜班,60
P000745,2026-02-16,L005,M005,白班,52
P000746,2026-02-16,L005,M006,夜班,50
P000747,2026-02-16,L006,M005,白班,47
P000748,2026-02-16,L006,M006,夜班,49
P000749,2026-02-16,L007,M007,白班,46
P000750,2026-02-16,L007,M008,夜班,51
P000751,2026-02-16,L008,M006,白班,74
P000752,2026-02-16,L008,M001,夜班,70
P000753,2026-02-17,L001,M002,白班,78
P000754,2026-02-17,L001,M001,夜班,91
P000755,2026-02-17,L002,M004,白班,82
P000756,2026-02-17,L002,M003,夜班,81
P000757,2026-02-17,L003,M004,白班,63
P000758,2026-02-17,L003,M003,夜班,63
P000759,2026-02-17,L004,M002,白班,57
P000760,2026-02-17,L004,M002,夜班,56
P000761,2026-02-17,L005,M006,白班,54
P000762,2026-02-17,L005,M006,夜班,51
P000763,2026-02-17,L006,M006,白班,54
P000764,2026-02-17,L006,M005,夜班,46
P000765,2026-02-17,L007,M008,白班,42
P000766,2026-02-17,L007,M007,夜班,41
P000767,2026-02-17,L008,M003,白班,78
P000768,2026-02-17,L008,M005,夜班,77
P000769,2026-02-18,L001,M002,白班,81
P000770,2026-02-18,L001,M002,夜班,91
P000771,2026-02-18,L002,M003,白班,75
P000772,2026-02-18,L002,M003,夜班,77
P000773,2026-02-18,L003,M003,白班,62
P000774,2026-02-18,L003,M004,夜班,68
P000775,2026-02-18,L004,M001,白班,66
P000776,2026-02-18,L004,M001,夜班,62
P000777,2026-02-18,L005,M005,白班,48
P000778,2026-02-18,L005,M005,夜班,49
P000779,2026-02-18,L006,M006,白班,55
P000780,2026-02-18,L006,M006,夜班,49
P000781,2026-02-18,L007,M007,白班,48
P000782,2026-02-18,L007,M007,夜班,49
P000783,2026-02-18,L008,M008,白班,70
P000784,2026-02-18,L008,M007,夜班,81
P000785,2026-02-19,L001,M001,白班,84
P000786,2026-02-19,L001,M001,夜班,86
P000787,2026-02-19,L002,M004,白班,70
P000788,2026-02-19,L002,M004,夜班,78
P000789,2026-02-19,L003,M004,白班,73
P000790,2026-02-19,L003,M004,夜班,69
P000791,2026-02-19,L004,M001,白班,69
P000792,2026-02-19,L004,M001,夜班,68
P000793,2026-02-19,L005,M006,白班,59
P000794,2026-02-19,L005,M006,夜班,59
P000795,2026-02-19,L006,M006,白班,46
P000796,2026-02-19,L006,M005,夜班,47
P000797,2026-02-19,L007,M007,白班,43
P000798,2026-02-19,L007,M008,夜班,48
P000799,2026-02-19,L008,M003,白班,74
P000800,2026-02-19,L008,M001,夜班,81
P000801,2026-02-20,L001,M002,白班,81
P000802,2026-02-20,L001,M002,夜班,93
P000803,2026-02-20,L002,M003,白班,77
P000804,2026-02-20,L002,M004,夜班,73
P000805,2026-02-20,L003,M003,白班,65
P000806,2026-02-20,L003,M004,夜班,72
P000807,2026-02-20,L004,M002,白班,67
P000808,2026-02-20,L004,M001,夜班,63
P000809,2026-02-20,L005,M005,白班,58
P000810,2026-02-20,L005,M006,夜班,60
P000811,2026-02-20,L006,M006,白班,53
P000812,2026-02-20,L006,M005,夜班,57
P000813,2026-02-20,L007,M008,白班,42
P000814,2026-02-20,L007,M008,夜班,51
P000815,2026-02-20,L008,M002,白班,80
P000816,2026-02-20,L008,M008,夜班,74
P000817,2026-02-21,L001,M001,白班,79
P000818,2026-02-21,L001,M002,夜班,68
P000819,2026-02-21,L002,M004,白班,58
P000820,2026-02-21,L002,M004,夜班,65
P000821,2026-02-21,L003,M004,白班,66
P000822,2026-02-21,L003,M003,夜班,69
P000823,2026-02-21,L004,M001,白班,56
P000824,2026-02-21,L004,M001,夜班,63
P000825,2026-02-21,L005,M005,白班,47
P000826,2026-02-21,L005,M005,夜班,51
P000827,2026-02-21,L006,M005,白班,42
P000828,2026-02-21,L006,M005,夜班,51
P000829,2026-02-21,L007,M007,白班,44
P000830,2026-02-21,L007,M008,夜班,42
P000831,2026-02-21,L008,M005,白班,68
P000832,2026-02-21,L008,M007,夜班,65
P000833,2026-02-22,L001,M002,白班,57
P000834,2026-02-22,L001,M002,夜班,57
P000835,2026-02-22,L002,M004,白班,45
P000836,2026-02-22,L002,M003,夜班,48
P000837,2026-02-22,L003,M004,白班,47
P000838,2026-02-22,L003,M003,夜班,46
P000839,2026-02-22,L004,M001,白班,45
P000840,2026-02-22,L004,M001,夜班,40
P000841,2026-02-22,L005,M006,白班,42
P000842,2026-02-22,L005,M006,夜班,39
P000843,2026-02-22,L006,M005,白班,35
P000844,2026-02-22,L006,M005,夜班,36
P000845,2026-02-22,L007,M008,白班,30
P000846,2026-02-22,L007,M007,夜班,36
P000847,2026-02-22,L008,M008,白班,47
P000848,2026-02-22,L008,M004,夜班,46
P000849,2026-02-23,L001,M001,白班,89
P000850,2026-02-23,L001,M001,夜班,92
P000851,2026-02-23,L002,M003,白班,71
P000852,2026-02-23,L002,M003,夜班,65
P000853,2026-02-23,L003,M004,白班,71
P000854,2026-02-23,L003,M004,夜班,69
P000855,2026-02-23,L004,M001,白班,65
P000856,2026-02-23,L004,M001,夜班,68
P000857,2026-02-23,L005,M005,白班,52
P000858,2026-02-23,L005,M006,夜班,50
P000859,2026-02-23,L006,M005,白班,49
P000860,2026-02-23,L006,M006,夜班,52
P000861,2026-02-23,L007,M008,白班,47
P000862,2026-02-23,L007,M007,夜班,51
P000863,2026-02-23,L008,M002,白班,78
P000864,2026-02-23,L008,M005,夜班,82
P000865,2026-02-24,L001,M001,白班,74
P000866,2026-02-24,L001,M001,夜班,78
P000867,2026-02-24,L002,M003,白班,68
P000868,2026-02-24,L002,M003,夜班,65
P000869,2026-02-24,L003,M003,白班,63
P000870,2026-02-24,L003,M004,夜班,65
P000871,2026-02-24,L004,M002,白班,58
P000872,2026-02-24,L004,M002,夜班,59
P000873,2026-02-24,L005,M006,白班,50
P000874,2026-02-24,L005,M006,夜班,57
P000875,2026-02-24,L006,M006,白班,53
P000876,2026-02-24,L006,M006,夜班,46
P000877,2026-02-24,L007,M007,白班,49
P000878,2026-02-24,L007,M008,夜班,51
P000879,2026-02-24,L008,M007,白班,77
P000880,2026-02-24,L008,M005,夜班,78
P000881,2026-02-25,L001,M002,白班,79
P000882,2026-02-25,L001,M001,夜班,87
P000883,2026-02-25,L002,M004,白班,82
P000884,2026-02-25,L002,M004,夜班,70
P000885,2026-02-25,L003,M003,白班,69
P000886,2026-02-25,L003,M003,夜班,61
P000887,2026-02-25,L004,M001,白班,71
P000888,2026-02-25,L004,M002,夜班,71
P000889,2026-02-25,L005,M005,白班,50
P000890,2026-02-25,L005,M006,夜班,56
P000891,2026-02-25,L006,M005,白班,48
P000892,2026-02-25,L006,M005,夜班,48
P000893,2026-02-25,L007,M008,白班,43
P000894,2026-02-25,L007,M007,夜班,52
P000895,2026-02-25,L008,M003,白班,81
P000896,2026-02-25,L008,M007,夜班,77
P000897,2026-02-26,L001,M001,白班,87
P000898,2026-02-26,L001,M001,夜班,91
P000899,2026-02-26,L002,M003,白班,66
P000900,2026-02-26,L002,M004,夜班,71
P000901,2026-02-26,L003,M003,白班,66
P000902,2026-02-26,L003,M003,夜班,73
P000903,2026-02-26,L004,M001,白班,66
P000904,2026-02-26,L004,M001,夜班,57
P000905,2026-02-26,L005,M005,白班,51
P000906,2026-02-26,L005,M006,夜班,48
P000907,2026-02-26,L006,M005,白班,54
P000908,2026-02-26,L006,M006,夜班,46
P000909,2026-02-26,L007,M008,白班,50
P000910,2026-02-26,L007,M008,夜班,51
P000911,2026-02-26,L008,M006,白班,74
P000912,2026-02-26,L008,M005,夜班,66
P000913,2026-02-27,L001,M002,白班,86
P000914,2026-02-27,L001,M002,夜班,81
P000915,2026-02-27,L002,M004,白班,76
P000916,2026-02-27,L002,M004,夜班,76
P000917,2026-02-27,L003,M004,白班,70
P000918,2026-02-27,L003,M003,夜班,74
P000919,2026-02-27,L004,M002,白班,58
P000920,2026-02-27,L004,M001,夜班,66
P000921,2026-02-27,L005,M006,白班,52
P000922,2026-02-27,L005,M006,夜班,54
P000923,2026-02-27,L006,M005,白班,47
P000924,2026-02-27,L006,M005,夜班,52
P000925,2026-02-27,L007,M008,白班,45
P000926,2026-02-27,L007,M008,夜班,45
P000927,2026-02-27,L008,M001,白班,68
P000928,2026-02-27,L008,M001,夜班,71
P000929,2026-02-28,L001,M002,白班,66
P000930,2026-02-28,L001,M002,夜班,71
P000931,2026-02-28,L002,M004,白班,67
P000932,2026-02-28,L002,M004,夜班,63
P000933,2026-02-28,L003,M003,白班,57
P000934,2026-02-28,L003,M004,夜班,57
P000935,2026-02-28,L004,M002,白班,54
P000936,2026-02-28,L004,M002,夜班,55
P000937,2026-02-28,L005,M006,白班,50
P000938,2026-02-28,L005,M005,夜班,51
P000939,2026-02-28,L006,M006,白班,48
P000940,2026-02-28,L006,M005,夜班,48
P000941,2026-02-28,L007,M007,白班,41
P000942,2026-02-28,L007,M008,夜班,39
P000943,2026-02-28,L008,M001,白班,70
P000944,2026-02-28,L008,M006,夜班,71
P000945,2026-03-01,L001,M002,白班,67
P000946,2026-03-01,L001,M002,夜班,58
P000947,2026-03-01,L002,M004,白班,54
P000948,2026-03-01,L002,M003,夜班,50
P000949,2026-03-01,L003,M004,白班,47
P000950,2026-03-01,L003,M003,夜班,48
P000951,2026-03-01,L004,M002,白班,44
P000952,2026-03-01,L004,M002,夜班,48
P000953,2026-03-01,L005,M005,白班,39
P000954,2026-03-01,L005,M006,夜班,38
P000955,2026-03-01,L006,M006,白班,42
P000956,2026-03-01,L006,M006,夜班,36
P000957,2026-03-01,L007,M008,白班,31
P000958,2026-03-01,L007,M008,夜班,38
P000959,2026-03-01,L008,M003,白班,59
P000960,2026-03-01,L008,M005,夜班,61
P000961,2026-03-02,L001,M002,白班,94
P000962,2026-03-02,L001,M002,夜班,87
P000963,2026-03-02,L002,M003,白班,75
P000964,2026-03-02,L002,M004,夜班,81
P000965,2026-03-02,L003,M003,白班,75
P000966,2026-03-02,L003,M003,夜班,78
P000967,2026-03-02,L004,M001,白班,69
P000968,2026-03-02,L004,M001,夜班,61
P000969,2026-03-02,L005,M005,白班,60
P000970,2026-03-02,L005,M005,夜班,61
P000971,2026-03-02,L006,M005,白班,55
P000972,2026-03-02,L006,M005,夜班,53
P000973,2026-03-02,L007,M008,白班,43
P000974,2026-03-02,L007,M007,夜班,47
P000975,2026-03-02,L008,M006,白班,82
P000976,2026-03-02,L008,M006,夜班,85
P000977,2026-03-03,L001,M001,白班,96
P000978,2026-03-03,L001,M001,夜班,93
P000979,2026-03-03,L002,M004,白班,73
P000980,2026-03-03,L002,M004,夜班,82
P000981,2026-03-03,L003,M004,白班,80
P000982,2026-03-03,L003,M004,夜班,69
P000983,2026-03-03,L004,M001,白班,67
P000984,2026-03-03,L004,M001,夜班,63
P000985,2026-03-03,L005,M006,白班,52
P000986,2026-03-03,L005,M005,夜班,53
P000987,2026-03-03,L006,M005,白班,57
P000988,2026-03-03,L006,M005,夜班,54
P000989,2026-03-03,L007,M008,白班,46
P000990,2026-03-03,L007,M007,夜班,47
P000991,2026-03-03,L008,M006,白班,80
P000992,2026-03-03,L008,M002,夜班,76
P000993,2026-03-04,L001,M002,白班,97
P000994,2026-03-04,L001,M002,夜班,95
P000995,2026-03-04,L002,M004,白班,81
P000996,2026-03-04,L002,M004,夜班,79
P000997,2026-03-04,L003,M003,白班,81
P000998,2026-03-04,L003,M004,夜班,70
P000999,2026-03-04,L004,M002,白班,60
P001000,2026-03-04,L004,M002,夜班,66
P001001,2026-03-04,L005,M006,白班,64
P001002,2026-03-04,L005,M005,夜班,51
P001003,2026-03-04,L006,M006,白班,53
P001004,2026-03-04,L006,M006,夜班,57
P001005,2026-03-04,L007,M008,白班,46
P001006,2026-03-04,L007,M007,夜班,55
P001007,2026-03-04,L008,M008,白班,81
P001008,2026-03-04,L008,M001,夜班,72
P001009,2026-03-05,L001,M001,白班,98
P001010,2026-03-05,L001,M002,夜班,88
P001011,2026-03-05,L002,M004,白班,75
P001012,2026-03-05,L002,M004,夜班,87
P001013,2026-03-05,L003,M003,白班,66
P001014,2026-03-05,L003,M004,夜班,81
P001015,2026-03-05,L004,M001,白班,60
P001016,2026-03-05,L004,M002,夜班,67
P001017,2026-03-05,L005,M006,白班,52
P001018,2026-03-05,L005,M006,夜班,64
P001019,2026-03-05,L006,M006,白班,57
P001020,2026-03-05,L006,M005,夜班,52
P001021,2026-03-05,L007,M008,白班,53
P001022,2026-03-05,L007,M008,夜班,53
P001023,2026-03-05,L008,M008,白班,70
P001024,2026-03-05,L008,M002,夜班,84
P001025,2026-03-06,L001,M002,白班,88
P001026,2026-03-06,L001,M001,夜班,95
P001027,2026-03-06,L002,M004,白班,84
P001028,2026-03-06,L002,M004,夜班,87
P001029,2026-03-06,L003,M003,白班,72
P001030,2026-03-06,L003,M003,夜班,81
P001031,2026-03-06,L004,M001,白班,61
P001032,2026-03-06,L004,M001,夜班,64
P001033,2026-03-06,L005,M006,白班,51
P001034,2026-03-06,L005,M005,夜班,60
P001035,2026-03-06,L006,M005,白班,52
P001036,2026-03-06,L006,M005,夜班,49
P001037,2026-03-06,L007,M008,白班,49
P001038,2026-03-06,L007,M007,夜班,45
P001039,2026-03-06,L008,M001,白班,75
P001040,2026-03-06,L008,M004,夜班,80
P001041,2026-03-07,L001,M002,白班,83
P001042,2026-03-07,L001,M002,夜班,88
P001043,2026-03-07,L002,M003,白班,72
P001044,2026-03-07,L002,M004,夜班,76
P001045,2026-03-07,L003,M003,白班,68
P001046,2026-03-07,L003,M004,夜班,63
P001047,2026-03-07,L004,M002,白班,64
P001048,2026-03-07,L004,M002,夜班,67
P001049,2026-03-07,L005,M006,白班,47
P001050,2026-03-07,L005,M006,夜班,49
P001051,2026-03-07,L006,M005,白班,52
P001052,2026-03-07,L006,M005,夜班,46
P001053,2026-03-07,L007,M007,白班,44
P001054,2026-03-07,L007,M007,夜班,43
P001055,2026-03-07,L008,M004,白班,68
P001056,2026-03-07,L008,M006,夜班,68
P001057,2026-03-08,L001,M002,白班,56
P001058,2026-03-08,L001,M001,夜班,55
P001059,2026-03-08,L002,M003,白班,59
P001060,2026-03-08,L002,M004,夜班,57
P001061,2026-03-08,L003,M003,白班,55
P001062,2026-03-08,L003,M003,夜班,57
P001063,2026-03-08,L004,M002,白班,48
P001064,2026-03-08,L004,M001,夜班,52
P001065,2026-03-08,L005,M006,白班,38
P001066,2026-03-08,L005,M006,夜班,39
P001067,2026-03-08,L006,M005,白班,35
P001068,2026-03-08,L006,M005,夜班,42
P001069,2026-03-08,L007,M008,白班,32
P001070,2026-03-08,L007,M007,夜班,38
P001071,2026-03-08,L008,M005,白班,60
P001072,2026-03-08,L008,M001,夜班,55
P001073,2026-03-09,L001,M001,白班,82
P001074,2026-03-09,L001,M001,夜班,90
P001075,2026-03-09,L002,M004,白班,86
P001076,2026-03-09,L002,M003,夜班,77
P001077,2026-03-09,L003,M003,白班,74
P001078,2026-03-09,L003,M004,夜班,78
P001079,2026-03-09,L004,M002,白班,66
P001080,2026-03-09,L004,M001,夜班,70
P001081,2026-03-09,L005,M006,白班,57
P001082,2026-03-09,L005,M006,夜班,56
P001083,2026-03-09,L006,M006,白班,52
P001084,2026-03-09,L006,M005,夜班,58
P001085,2026-03-09,L007,M007,白班,54
P001086,2026-03-09,L007,M007,夜班,50
P001087,2026-03-09,L008,M006,白班,69
P001088,2026-03-09,L008,M006,夜班,69
P001089,2026-03-10,L001,M001,白班,93
P001090,2026-03-10,L001,M001,夜班,90
P001091,2026-03-10,L002,M003,白班,68
P001092,2026-03-10,L002,M004,夜班,76
P001093,2026-03-10,L003,M003,白班,65
P001094,2026-03-10,L003,M003,夜班,75
P001095,2026-03-10,L004,M001,白班,61
P001096,2026-03-10,L004,M002,夜班,73
P001097,2026-03-10,L005,M005,白班,51
P001098,2026-03-10,L005,M006,夜班,59
P001099,2026-03-10,L006,M005,白班,49
P001100,2026-03-10,L006,M005,夜班,60
P001101,2026-03-10,L007,M007,白班,46
P001102,2026-03-10,L007,M008,夜班,55
P001103,2026-03-10,L008,M001,白班,87
P001104,2026-03-10,L008,M007,夜班,69
P001105,2026-03-11,L001,M001,白班,88
P001106,2026-03-11,L001,M001,夜班,82
P001107,2026-03-11,L002,M004,白班,69
P001108,2026-03-11,L002,M004,夜班,85
P001109,2026-03-11,L003,M003,白班,73
P001110,2026-03-11,L003,M004,夜班,66
P001111,2026-03-11,L004,M002,白班,65
P001112,2026-03-11,L004,M002,夜班,61
P001113,2026-03-11,L005,M005,白班,60
P001114,2026-03-11,L005,M006,夜班,62
P001115,2026-03-11,L006,M005,白班,52
P001116,2026-03-11,L006,M006,夜班,48
P001117,2026-03-11,L007,M008,白班,54
P001118,2026-03-11,L007,M008,夜班,52
P001119,2026-03-11,L008,M006,白班,77
P001120,2026-03-11,L008,M001,夜班,75
P001121,2026-03-12,L001,M001,白班,97
P001122,2026-03-12,L001,M002,夜班,94
P001123,2026-03-12,L002,M004,白班,70
P001124,2026-03-12,L002,M004,夜班,77
P001125,2026-03-12,L003,M003,白班,70
P001126,2026-03-12,L003,M003,夜班,71
P001127,2026-03-12,L004,M002,白班,61
P001128,2026-03-12,L004,M002,夜班,68
P001129,2026-03-12,L005,M005,白班,57
P001130,2026-03-12,L005,M005,夜班,53
P001131,2026-03-12,L006,M005,白班,52
P001132,2026-03-12,L006,M005,夜班,55
P001133,2026-03-12,L007,M007,白班,44
P001134,2026-03-12,L007,M007,夜班,49
P001135,2026-03-12,L008,M003,白班,87
P001136,2026-03-12,L008,M002,夜班,83
P001137,2026-03-13,L001,M002,白班,90
P001138,2026-03-13,L001,M001,夜班,96
P001139,2026-03-13,L002,M003,白班,85
P001140,2026-03-13,L002,M003,夜班,71
P001141,2026-03-13,L003,M004,白班,67
P001142,2026-03-13,L003,M004,夜班,71
P001143,2026-03-13,L004,M001,白班,71
P001144,2026-03-13,L004,M002,夜班,72
P001145,2026-03-13,L005,M005,白班,53
P001146,2026-03-13,L005,M006,夜班,57
P001147,2026-03-13,L006,M005,白班,58
P001148,2026-03-13,L006,M006,夜班,55
P001149,2026-03-13,L007,M008,白班,50
P001150,2026-03-13,L007,M008,夜班,49
P001151,2026-03-13,L008,M007,白班,76
P001152,2026-03-13,L008,M007,夜班,72
P001153,2026-03-14,L001,M002,白班,73
P001154,2026-03-14,L001,M001,夜班,73
P001155,2026-03-14,L002,M004,白班,79
P001156,2026-03-14,L002,M004,夜班,73
P001157,2026-03-14,L003,M003,白班,64
P001158,2026-03-14,L003,M003,夜班,67
P001159,2026-03-14,L004,M002,白班,67
P001160,2026-03-14,L004,M001,夜班,61
P001161,2026-03-14,L005,M006,白班,53
P001162,2026-03-14,L005,M006,夜班,52
P001163,2026-03-14,L006,M006,白班,55
P001164,2026-03-14,L006,M005,夜班,53
P001165,2026-03-14,L007,M008,白班,41
P001166,2026-03-14,L007,M008,夜班,49
P001167,2026-03-14,L008,M005,白班,75
P001168,2026-03-14,L008,M007,夜班,68
P001169,2026-03-15,L001,M001,白班,64
P001170,2026-03-15,L001,M002,夜班,60
P001171,2026-03-15,L002,M004,白班,52
P001172,2026-03-15,L002,M004,夜班,50
P001173,2026-03-15,L003,M004,白班,49
P001174,2026-03-15,L003,M004,夜班,48
P001175,2026-03-15,L004,M002,白班,51
P001176,2026-03-15,L004,M002,夜班,51
P001177,2026-03-15,L005,M005,白班,42
P001178,2026-03-15,L005,M005,夜班,40
P001179,2026-03-15,L006,M006,白班,37
P001180,2026-03-15,L006,M005,夜班,37
P001181,2026-03-15,L007,M008,白班,33
P001182,2026-03-15,L007,M008,夜班,36
P001183,2026-03-15,L008,M001,白班,60
P001184,2026-03-15,L008,M008,夜班,59
P001185,2026-03-16,L001,M001,白班,93
P001186,2026-03-16,L001,M002,夜班,81
P001187,2026-03-16,L002,M004,白班,69
P001188,2026-03-16,L002,M004,夜班,69
P001189,2026-03-16,L003,M003,白班,77
P001190,2026-03-16,L003,M004,夜班,72
P001191,2026-03-16,L004,M002,白班,63
P001192,2026-03-16,L004,M002,夜班,59
P001193,2026-03-16,L005,M006,白班,55
P001194,2026-03-16,L005,M006,夜班,53
P001195,2026-03-16,L006,M006,白班,50
P001196,2026-03-16,L006,M005,夜班,58
P001197,2026-03-16,L007,M007,白班,48
P001198,2026-03-16,L007,M007,夜班,52
P001199,2026-03-16,L008,M002,白班,81
P001200,2026-03-16,L008,M004,夜班,76
P001201,2026-03-17,L001,M001,白班,89
P001202,2026-03-17,L001,M001,夜班,89
P001203,2026-03-17,L002,M003,白班,84
P001204,2026-03-17,L002,M004,夜班,79
P001205,2026-03-17,L003,M004,白班,78
P001206,2026-03-17,L003,M004,夜班,76
P001207,2026-03-17,L004,M002,白班,73
P001208,2026-03-17,L004,M001,夜班,74
P001209,2026-03-17,L005,M006,白班,63
P001210,2026-03-17,L005,M005,夜班,52
P001211,2026-03-17,L006,M006,白班,60
P001212,2026-03-17,L006,M005,夜班,54
P001213,2026-03-17,L007,M007,白班,52
P001214,2026-03-17,L007,M007,夜班,47
P001215,2026-03-17,L008,M004,白班,84
P001216,2026-03-17,L008,M003,夜班,77
P001217,2026-03-18,L001,M002,白班,87
P001218,2026-03-18,L001,M001,夜班,96
P001219,2026-03-18,L002,M003,白班,86
P001220,2026-03-18,L002,M003,夜班,85
P001221,2026-03-18,L003,M003,白班,81
P001222,2026-03-18,L003,M003,夜班,79
P001223,2026-03-18,L004,M002,白班,68
P001224,2026-03-18,L004,M002,夜班,76
P001225,2026-03-18,L005,M006,白班,51
P001226,2026-03-18,L005,M006,夜班,58
P001227,2026-03-18,L006,M006,白班,50
P001228,2026-03-18,L006,M006,夜班,50
P001229,2026-03-18,L007,M007,白班,44
P001230,2026-03-18,L007,M008,夜班,50
P001231,2026-03-18,L008,M002,白班,80
P001232,2026-03-18,L008,M008,夜班,78
P001233,2026-03-19,L001,M001,白班,93
P001234,2026-03-19,L001,M001,夜班,89
P001235,2026-03-19,L002,M004,白班,75
P001236,2026-03-19,L002,M004,夜班,70
P001237,2026-03-19,L003,M004,白班,73
P001238,2026-03-19,L003,M004,夜班,81
P001239,2026-03-19,L004,M002,白班,70
P001240,2026-03-19,L004,M001,夜班,62
